1,1,5.0,1094169600
2,1,5.0,1197676800
3,1,2.0,1293840000
4,1,5.0,1145404800
5,1,5.0,1375574400
6,1,5.0,1011744000
7,1,5.0,1168992000
8,1,5.0,1384387200
9,2,5.0,1291680000
10,2,5.0,1385942400
11,2,5.0,1184025600
12,2,5.0,1216080000
13,2,5.0,1315699200
14,2,5.0,1277164800
15,2,4.0,1225584000
16,2,5.0,1326240000
17,2,5.0,1386633600
18,3,5.0,1070582400
19,3,4.0,1371340800
20,3,5.0,1380067200
21,3,4.0,1222300800
22,3,5.0,1340323200
23,3,5.0,1303776000
24,3,5.0,1375747200
25,3,5.0,1375056000
10,3,3.0,1385942400
26,3,5.0,1401580800
27,3,5.0,1357776000
28,3,5.0,1403740800
29,3,5.0,1316649600
30,3,5.0,1380672000
31,3,4.0,1099008000
32,3,1.0,1393027200
33,3,5.0,1344988800
34,3,3.0,1269820800
35,3,5.0,1401321600
36,3,5.0,1374019200
37,3,2.0,1372809600
38,3,5.0,1355702400
39,3,5.0,1376956800
40,4,1.0,1159660800
41,4,5.0,1386806400
42,4,4.0,1404000000
43,4,2.0,1071532800
44,4,5.0,1362096000
45,4,5.0,1365120000
46,4,5.0,1366329600
47,4,5.0,1352851200
48,4,5.0,1383177600
49,4,4.0,1294876800
50,5,5.0,1317427200
51,5,5.0,1288310400
52,5,4.0,1291852800
53,5,4.0,1324512000
54,5,5.0,1292457600
55,5,5.0,1289347200
56,5,5.0,1290470400
57,5,5.0,1289692800
58,5,5.0,1291766400
59,5,5.0,1289174400
60,5,3.0,1288656000
61,5,5.0,1292284800
62,5,5.0,1288742400
63,5,5.0,1291334400
64,5,5.0,1294012800
65,5,5.0,1289952000
66,5,5.0,1282176000
67,5,5.0,1399593600
68,5,4.0,1295481600
69,5,5.0,1332806400
70,5,5.0,1288224000
71,5,4.0,1293062400
72,5,5.0,1288742400
73,5,4.0,1291334400
74,5,5.0,1290470400
75,5,5.0,1297468800
76,5,4.0,1292457600
12,5,5.0,1303344000
77,5,5.0,1369699200
78,5,5.0,1289865600
79,5,5.0,1294444800
80,5,4.0,1318723200
81,5,5.0,1288656000
82,5,4.0,1290038400
83,5,5.0,1290384000
84,5,4.0,1290038400
85,5,5.0,1289347200
86,5,5.0,1290038400
87,5,5.0,1355702400
88,5,5.0,1294272000
89,5,5.0,1290556800
90,5,5.0,1290297600
